date,platform_en,channel_en,campaign_name,ad_group,creative_type_en,target_audience_en,plan_tier,impressions,clicks,conversions,cost,revenue,ctr,cvr,cpc,cpa,roi
2025-01-25,Ocean Engine,Feed Ads,Campaign_001,AdGroup_038,Live Clip,New Users,Stable,23197,1430,161,7199.87,14534.57,0.0616,0.1126,5.0349,44.7197,2.0187
2025-01-26,Ocean Engine,Feed Ads,Campaign_001,AdGroup_066,Live Clip,New Users,Stable,17197,1098,111,5697.13,9985.43,0.0638,0.1011,5.1886,51.3255,1.7527
2025-01-27,Ocean Engine,Feed Ads,Campaign_001,AdGroup_064,Live Clip,New Users,Stable,21594,1407,128,7867.05,12028.38,0.0652,0.091,5.5914,61.4613,1.529
2025-01-28,Ocean Engine,Feed Ads,Campaign_001,AdGroup_029,Live Clip,New Users,Stable,17693,1030,118,5250.36,11286.44,0.0582,0.1146,5.0974,44.4946,2.1497
2025-01-29,Ocean Engine,Feed Ads,Campaign_001,AdGroup_074,Live Clip,New Users,Stable,15401,915,101,4194.42,9405.1,0.0594,0.1104,4.5841,41.5289,2.2423
2025-01-30,Ocean Engine,Feed Ads,Campaign_001,AdGroup_056,Live Clip,New Users,Stable,13969,850,96,3969.3,9330.7,0.0608,0.1129,4.6698,41.3469,2.3507
2025-01-31,Ocean Engine,Feed Ads,Campaign_001,AdGroup_036,Live Clip,New Users,Stable,38203,2410,241,13025.33,20461.53,0.0631,0.1,5.4047,54.047,1.5709
2025-02-01,Ocean Engine,Feed Ads,Campaign_001,AdGroup_038,Live Clip,New Users,Stable,19527,1248,119,6153.91,10400.43,0.0639,0.0954,4.931,51.7135,1.6901
2025-02-02,Ocean Engine,Feed Ads,Campaign_001,AdGroup_097,Live Clip,New Users,Stable,16853,1012,107,5626.99,9284.67,0.06,0.1057,5.5603,52.5887,1.65
2025-02-03,Ocean Engine,Feed Ads,Campaign_001,AdGroup_037,Live Clip,New Users,Stable,12016,672,77,3751.64,7164.83,0.0559,0.1146,5.5828,48.7226,1.9098
2025-02-04,Ocean Engine,Feed Ads,Campaign_001,AdGroup_086,Live Clip,New Users,Stable,14178,913,97,4581.61,9270.66,0.0644,0.1062,5.0182,47.2331,2.0235
2025-02-05,Ocean Engine,Feed Ads,Campaign_001,AdGroup_087,Live Clip,New Users,Stable,19437,1351,123,6496.95,10720.88,0.0695,0.091,4.809,52.8207,1.6501
2025-02-06,Ocean Engine,Feed Ads,Campaign_001,AdGroup_025,Live Clip,New Users,Stable,32589,2012,179,12702.51,12090.1,0.0617,0.089,6.3134,70.9637,0.9518
2025-02-07,Ocean Engine,Feed Ads,Campaign_001,AdGroup_043,Live Clip,New Users,Stable,19693,1355,157,6862.26,14413.8,0.0688,0.1159,5.0644,43.7087,2.1004
2025-02-08,Ocean Engine,Feed Ads,Campaign_001,AdGroup_026,Live Clip,New Users,Stable,20993,1222,108,5979.23,10392.08,0.0582,0.0884,4.893,55.3632,1.738
2025-02-09,Ocean Engine,Feed Ads,Campaign_001,AdGroup_086,Live Clip,New Users,Stable,12728,711,76,3373.46,7515.15,0.0559,0.1069,4.7447,44.3876,2.2277
2025-02-10,Ocean Engine,Feed Ads,Campaign_001,AdGroup_029,Live Clip,New Users,Stable,32873,1864,206,8910.1,20178.75,0.0567,0.1105,4.7801,43.2529,2.2647
2025-02-11,Ocean Engine,Feed Ads,Campaign_001,AdGroup_047,Live Clip,New Users,Stable,17533,1143,113,6259.74,10551.78,0.0652,0.0989,5.4766,55.3959,1.6857
2025-02-12,Ocean Engine,Feed Ads,Campaign_001,AdGroup_055,Live Clip,New Users,Stable,31714,1998,205,10784.1,17679.23,0.063,0.1026,5.3974,52.6054,1.6394
2025-02-13,Ocean Engine,Feed Ads,Campaign_001,AdGroup_087,Live Clip,New Users,Stable,28127,1970,195,9550.0,18371.29,0.07,0.099,4.8477,48.9744,1.9237
2025-02-14,Ocean Engine,Feed Ads,Campaign_001,AdGroup_067,Live Clip,New Users,Stable,16201,1038,99,4945.83,9124.94,0.0641,0.0954,4.7648,49.9579,1.845
2025-02-15,Ocean Engine,Feed Ads,Campaign_001,AdGroup_032,Live Clip,New Users,Stable,24103,1667,174,8915.02,16806.42,0.0692,0.1044,5.3479,51.2357,1.8852
2025-02-16,Ocean Engine,Feed Ads,Campaign_001,AdGroup_007,Live Clip,New Users,Stable,19785,1221,132,5829.82,11753.56,0.0617,0.1081,4.7746,44.1653,2.0161
2025-02-17,Ocean Engine,Feed Ads,Campaign_001,AdGroup_029,Live Clip,New Users,Stable,18402,1202,132,6598.31,11422.2,0.0653,0.1098,5.4894,49.9872,1.7311
2025-02-18,Ocean Engine,Feed Ads,Campaign_001,AdGroup_012,Live Clip,New Users,Stable,21765,1482,145,7165.67,13096.01,0.0681,0.0978,4.8351,49.4184,1.8276
2025-02-19,Ocean Engine,Feed Ads,Campaign_001,AdGroup_099,Live Clip,New Users,Stable,16495,1126,110,6088.14,9907.46,0.0683,0.0977,5.4069,55.3467,1.6273
2025-02-20,Ocean Engine,Feed Ads,Campaign_001,AdGroup_025,Live Clip,New Users,Stable,22027,1494,150,6830.23,13302.24,0.0678,0.1004,4.5718,45.5349,1.9476
2025-02-21,Ocean Engine,Feed Ads,Campaign_001,AdGroup_098,Live Clip,New Users,Stable,17142,1021,93,5589.75,9228.15,0.0596,0.0911,5.4748,60.1048,1.6509
2025-02-22,Ocean Engine,Feed Ads,Campaign_001,AdGroup_006,Live Clip,New Users,Stable,12414,795,85,5366.22,6154.5,0.064,0.1069,6.75,63.132,1.1469
2025-02-23,Ocean Engine,Feed Ads,Campaign_001,AdGroup_017,Live Clip,New Users,Stable,21418,1431,136,7513.39,12512.77,0.0668,0.095,5.2504,55.2455,1.6654
2025-02-24,Ocean Engine,Feed Ads,Campaign_001,AdGroup_036,Live Clip,New Users,Stable,10903,693,61,3279.01,5831.43,0.0636,0.088,4.7316,53.7543,1.7784
2025-02-25,Ocean Engine,Feed Ads,Campaign_001,AdGroup_059,Live Clip,New Users,Stable,12546,845,75,4628.2,6837.34,0.0674,0.0888,5.4772,61.7093,1.4773
2025-02-26,Ocean Engine,Feed Ads,Campaign_001,AdGroup_036,Live Clip,New Users,Stable,19941,1254,135,7007.39,12894.77,0.0629,0.1077,5.588,51.9066,1.8402
2025-02-27,Ocean Engine,Feed Ads,Campaign_001,AdGroup_098,Live Clip,New Users,Stable,11144,712,65,3903.26,6317.62,0.0639,0.0913,5.4821,60.0502,1.6185
2025-02-28,Ocean Engine,Feed Ads,Campaign_001,AdGroup_025,Live Clip,New Users,Stable,15321,933,91,4670.22,8654.96,0.0609,0.0975,5.0056,51.3211,1.8532
2025-03-01,Ocean Engine,Feed Ads,Campaign_001,AdGroup_098,Live Clip,New Users,Stable,33145,1970,222,10707.55,21080.84,0.0594,0.1127,5.4353,48.2322,1.9688
2025-03-02,Ocean Engine,Feed Ads,Campaign_001,AdGroup_012,Live Clip,New Users,Stable,17276,1174,137,6368.78,13001.0,0.068,0.1167,5.4249,46.4874,2.0414
2025-03-03,Ocean Engine,Feed Ads,Campaign_001,AdGroup_080,Live Clip,New Users,Stable,14652,936,107,5017.54,10336.95,0.0639,0.1143,5.3606,46.8929,2.0602
2025-03-04,Ocean Engine,Feed Ads,Campaign_001,AdGroup_010,Live Clip,New Users,Stable,15423,973,91,5492.13,8975.6,0.0631,0.0935,5.6445,60.3531,1.6343
2025-03-05,Ocean Engine,Feed Ads,Campaign_001,AdGroup_079,Live Clip,New Users,Stable,20237,1308,155,6755.23,14212.77,0.0646,0.1185,5.1645,43.5821,2.104
2025-03-06,Ocean Engine,Feed Ads,Campaign_001,AdGroup_039,Live Clip,New Users,Stable,13184,919,108,5143.0,9904.69,0.0697,0.1175,5.5963,47.6204,1.9259
2025-03-07,Ocean Engine,Feed Ads,Campaign_001,AdGroup_060,Live Clip,New Users,Stable,22479,1407,146,7405.29,13768.18,0.0626,0.1038,5.2632,50.7212,1.8592
2025-03-08,Ocean Engine,Feed Ads,Campaign_001,AdGroup_004,Live Clip,New Users,Stable,24070,1534,155,7664.42,14439.36,0.0637,0.101,4.9964,49.4479,1.8839
2025-03-09,Ocean Engine,Feed Ads,Campaign_001,AdGroup_066,Live Clip,New Users,Stable,18425,1247,121,6537.32,11831.04,0.0677,0.097,5.2424,54.0274,1.8098
2025-03-10,Ocean Engine,Feed Ads,Campaign_001,AdGroup_057,Live Clip,New Users,Stable,20649,1400,165,6911.23,15844.43,0.0678,0.1179,4.9366,41.8862,2.2926
2025-03-11,Ocean Engine,Feed Ads,Campaign_001,AdGroup_084,Live Clip,New Users,Stable,17480,1127,108,5623.14,9295.98,0.0645,0.0958,4.9895,52.0661,1.6532
2025-03-12,Ocean Engine,Feed Ads,Campaign_001,AdGroup_025,Live Clip,New Users,Stable,13889,796,78,3873.37,6948.92,0.0573,0.098,4.866,49.6586,1.794
2025-03-13,Ocean Engine,Feed Ads,Campaign_001,AdGroup_068,Live Clip,New Users,Stable,21067,1262,146,5801.32,12605.02,0.0599,0.1157,4.5969,39.7351,2.1728
2025-03-14,Ocean Engine,Feed Ads,Campaign_001,AdGroup_059,Live Clip,New Users,Stable,22096,1547,157,8088.6,13687.88,0.07,0.1015,5.2286,51.5197,1.6922
2025-03-15,Ocean Engine,Feed Ads,Campaign_001,AdGroup_098,Live Clip,New Users,Stable,17686,1093,124,5249.75,12023.27,0.0618,0.1134,4.8031,42.3367,2.2903
2025-03-16,Ocean Engine,Feed Ads,Campaign_001,AdGroup_009,Live Clip,New Users,Stable,16815,1181,133,6420.87,12502.29,0.0702,0.1126,5.4368,48.2772,1.9471
2025-03-17,Ocean Engine,Feed Ads,Campaign_001,AdGroup_062,Live Clip,New Users,Stable,16832,1174,138,5564.85,12497.44,0.0697,0.1175,4.7401,40.325,2.2458
2025-03-18,Ocean Engine,Feed Ads,Campaign_001,AdGroup_056,Live Clip,New Users,Stable,30211,2025,179,11221.44,17433.93,0.067,0.0884,5.5415,62.6896,1.5536
2025-03-19,Ocean Engine,Feed Ads,Campaign_001,AdGroup_009,Live Clip,New Users,Stable,14626,873,79,4831.7,7805.5,0.0597,0.0905,5.5346,61.1608,1.6155
2025-03-20,Ocean Engine,Feed Ads,Campaign_001,AdGroup_048,Live Clip,New Users,Stable,19609,1311,126,6328.99,10684.51,0.0669,0.0961,4.8276,50.2301,1.6882
2025-03-21,Ocean Engine,Feed Ads,Campaign_001,AdGroup_081,Live Clip,New Users,Stable,16430,1038,93,4973.6,8815.49,0.0632,0.0896,4.7915,53.4796,1.7725
2025-03-22,Ocean Engine,Feed Ads,Campaign_001,AdGroup_088,Live Clip,New Users,Stable,23409,1507,162,7762.82,15788.61,0.0644,0.1075,5.1512,47.9186,2.0339
2025-03-23,Ocean Engine,Feed Ads,Campaign_001,AdGroup_045,Live Clip,New Users,Stable,18826,1276,137,7008.01,13357.75,0.0678,0.1074,5.4922,51.1534,1.9061
2025-03-24,Ocean Engine,Feed Ads,Campaign_001,AdGroup_031,Live Clip,New Users,Stable,22555,1468,162,6933.48,15827.71,0.0651,0.1104,4.7231,42.7993,2.2828
2025-03-25,Ocean Engine,Feed Ads,Campaign_001,AdGroup_002,Live Clip,New Users,Stable,23141,1579,144,7767.52,13777.62,0.0682,0.0912,4.9193,53.9411,1.7737
2025-03-26,Ocean Engine,Feed Ads,Campaign_001,AdGroup_095,Live Clip,New Users,Stable,17400,970,93,5075.5,9223.74,0.0557,0.0959,5.2325,54.5753,1.8173
2025-03-27,Ocean Engine,Feed Ads,Campaign_001,AdGroup_071,Live Clip,New Users,Stable,23782,1460,128,7966.8,11086.77,0.0614,0.0877,5.4567,62.2406,1.3916
2025-03-28,Ocean Engine,Feed Ads,Campaign_001,AdGroup_096,Live Clip,New Users,Stable,19763,1203,128,6715.98,11037.85,0.0609,0.1064,5.5827,52.4686,1.6435
2025-03-29,Ocean Engine,Feed Ads,Campaign_001,AdGroup_065,Live Clip,New Users,Stable,18883,1272,148,6018.75,14220.25,0.0674,0.1164,4.7317,40.6672,2.3627
2025-03-30,Ocean Engine,Feed Ads,Campaign_001,AdGroup_079,Live Clip,New Users,Stable,16113,1056,111,5251.66,9511.56,0.0655,0.1051,4.9732,47.3123,1.8112
2025-03-31,Ocean Engine,Feed Ads,Campaign_001,AdGroup_004,Live Clip,New Users,Stable,27855,1898,181,8632.0,15758.7,0.0681,0.0954,4.5479,47.6906,1.8256
2025-01-01,Ocean Engine,Splash Ads,Campaign_002,AdGroup_078,Short Video,Female 18-24,Low Efficiency,7235,243,9,1559.39,520.35,0.0336,0.037,6.4172,173.2656,0.3337
2025-01-02,Ocean Engine,Splash Ads,Campaign_002,AdGroup_093,Short Video,Female 18-24,Low Efficiency,5996,205,6,1363.48,390.03,0.0342,0.0293,6.6511,227.2467,0.2861
2025-01-03,Ocean Engine,Splash Ads,Campaign_002,AdGroup_038,Short Video,Female 18-24,Low Efficiency,10097,382,13,2236.47,847.68,0.0378,0.034,5.8546,172.0362,0.379
2025-01-04,Ocean Engine,Splash Ads,Campaign_002,AdGroup_015,Short Video,Female 18-24,Low Efficiency,13147,450,15,2487.87,929.83,0.0342,0.0333,5.5286,165.858,0.3737
2025-01-05,Ocean Engine,Splash Ads,Campaign_002,AdGroup_050,Short Video,Female 18-24,Low Efficiency,21047,707,23,3965.65,1314.82,0.0336,0.0325,5.6091,172.4196,0.3316
2025-01-06,Ocean Engine,Splash Ads,Campaign_002,AdGroup_003,Short Video,Female 18-24,Low Efficiency,6867,267,10,1511.99,559.93,0.0389,0.0375,5.6629,151.199,0.3703
2025-01-07,Ocean Engine,Splash Ads,Campaign_002,AdGroup_048,Short Video,Female 18-24,Low Efficiency,9979,321,12,2022.75,696.9,0.0322,0.0374,6.3014,168.5625,0.3445
2025-01-08,Ocean Engine,Splash Ads,Campaign_002,AdGroup_011,Short Video,Female 18-24,Low Efficiency,7430,271,8,1698.47,466.26,0.0365,0.0295,6.2674,212.3088,0.2745
2025-01-09,Ocean Engine,Splash Ads,Campaign_002,AdGroup_041,Short Video,Female 18-24,Low Efficiency,16973,606,25,3911.77,1551.0,0.0357,0.0413,6.4551,156.4708,0.3965
2025-01-10,Ocean Engine,Splash Ads,Campaign_002,AdGroup_032,Short Video,Female 18-24,Low Efficiency,9437,307,11,1727.67,638.24,0.0325,0.0358,5.6276,157.0609,0.3694
2025-01-11,Ocean Engine,Splash Ads,Campaign_002,AdGroup_097,Short Video,Female 18-24,Low Efficiency,11182,381,13,2486.93,842.3,0.0341,0.0341,6.5274,191.3023,0.3387
2025-01-12,Ocean Engine,Splash Ads,Campaign_002,AdGroup_066,Short Video,Female 18-24,Low Efficiency,10197,336,11,1858.54,620.83,0.033,0.0327,5.5314,168.9582,0.334
2025-01-13,Ocean Engine,Splash Ads,Campaign_002,AdGroup_009,Short Video,Female 18-24,Low Efficiency,13075,426,16,2881.08,910.1,0.0326,0.0376,6.7631,180.0675,0.3159
2025-01-14,Ocean Engine,Splash Ads,Campaign_002,AdGroup_050,Short Video,Female 18-24,Low Efficiency,11930,482,15,2994.6,938.17,0.0404,0.0311,6.2129,199.64,0.3133
2025-01-15,Ocean Engine,Splash Ads,Campaign_002,AdGroup_022,Short Video,Female 18-24,Low Efficiency,14256,536,19,3416.01,1159.63,0.0376,0.0354,6.3732,179.79,0.3395
2025-01-16,Ocean Engine,Splash Ads,Campaign_002,AdGroup_012,Short Video,Female 18-24,Low Efficiency,11950,432,16,2675.32,1004.2,0.0362,0.037,6.1929,167.2075,0.3754
2025-01-17,Ocean Engine,Splash Ads,Campaign_002,AdGroup_053,Short Video,Female 18-24,Low Efficiency,8829,352,11,2392.09,648.35,0.0399,0.0312,6.7957,217.4627,0.271
2025-01-18,Ocean Engine,Splash Ads,Campaign_002,AdGroup_096,Short Video,Female 18-24,Low Efficiency,9943,378,13,2355.59,814.35,0.038,0.0344,6.2317,181.1992,0.3457
2025-01-19,Ocean Engine,Splash Ads,Campaign_002,AdGroup_007,Short Video,Female 18-24,Low Efficiency,9929,327,11,1890.93,657.03,0.0329,0.0336,5.7827,171.9027,0.3475
2025-01-20,Ocean Engine,Splash Ads,Campaign_002,AdGroup_004,Short Video,Female 18-24,Low Efficiency,22521,817,33,5279.58,2074.72,0.0363,0.0404,6.4622,159.9873,0.393
2025-01-21,Ocean Engine,Splash Ads,Campaign_002,AdGroup_079,Short Video,Female 18-24,Low Efficiency,12927,474,17,3802.52,784.12,0.0367,0.0359,8.0222,223.6776,0.2062
2025-01-22,Ocean Engine,Splash Ads,Campaign_002,AdGroup_012,Short Video,Female 18-24,Low Efficiency,12590,505,18,2958.36,1105.46,0.0401,0.0356,5.8581,164.3533,0.3737
2025-01-23,Ocean Engine,Splash Ads,Campaign_002,AdGroup_042,Short Video,Female 18-24,Low Efficiency,8782,347,11,2265.09,655.63,0.0395,0.0317,6.5276,205.9173,0.2894
2025-01-24,Ocean Engine,Splash Ads,Campaign_002,AdGroup_062,Short Video,Female 18-24,Low Efficiency,5869,201,8,1151.65,511.61,0.0342,0.0398,5.7296,143.9562,0.4442
2025-01-25,Ocean Engine,Splash Ads,Campaign_002,AdGroup_089,Short Video,Female 18-24,Low Efficiency,10675,399,15,2543.86,849.01,0.0374,0.0376,6.3756,169.5907,0.3337
2025-01-26,Ocean Engine,Splash Ads,Campaign_002,AdGroup_056,Short Video,Female 18-24,Low Efficiency,9079,370,12,2356.04,705.93,0.0408,0.0324,6.3677,196.3367,0.2996
2025-01-27,Ocean Engine,Splash Ads,Campaign_002,AdGroup_076,Short Video,Female 18-24,Low Efficiency,7310,250,10,1519.93,588.82,0.0342,0.04,6.0797,151.993,0.3874
2025-01-28,Ocean Engine,Splash Ads,Campaign_002,AdGroup_064,Short Video,Female 18-24,Low Efficiency,9050,357,12,2077.89,739.85,0.0394,0.0336,5.8204,173.1575,0.3561
2025-01-29,Ocean Engine,Splash Ads,Campaign_002,AdGroup_056,Short Video,Female 18-24,Low Efficiency,7514,282,9,1749.08,569.24,0.0375,0.0319,6.2024,194.3422,0.3255
2025-01-30,Ocean Engine,Splash Ads,Campaign_002,AdGroup_002,Short Video,Female 18-24,Low Efficiency,7119,266,10,1532.94,567.62,0.0374,0.0376,5.7629,153.294,0.3703
2025-01-31,Ocean Engine,Splash Ads,Campaign_002,AdGroup_033,Short Video,Female 18-24,Low Efficiency,9588,313,12,1811.71,689.06,0.0326,0.0383,5.7882,150.9758,0.3803
2025-02-01,Ocean Engine,Splash Ads,Campaign_002,AdGroup_043,Short Video,Female 18-24,Low Efficiency,10025,367,11,2086.69,717.55,0.0366,0.03,5.6858,189.6991,0.3439
2025-02-02,Ocean Engine,Splash Ads,Campaign_002,AdGroup_045,Short Video,Female 18-24,Low Efficiency,11413,393,14,2336.95,851.65,0.0344,0.0356,5.9464,166.925,0.3644
2025-02-03,Ocean Engine,Splash Ads,Campaign_002,AdGroup_008,Short Video,Female 18-24,Low Efficiency,11484,384,16,2484.42,916.01,0.0334,0.0417,6.4698,155.2762,0.3687
2025-02-04,Ocean Engine,Splash Ads,Campaign_002,AdGroup_030,Short Video,Female 18-24,Low Efficiency,9265,377,12,2403.09,781.86,0.0407,0.0318,6.3742,200.2575,0.3254
2025-02-05,Ocean Engine,Splash Ads,Campaign_002,AdGroup_072,Short Video,Female 18-24,Low Efficiency,8957,327,12,2175.29,734.44,0.0365,0.0367,6.6523,181.2742,0.3376
2025-02-06,Ocean Engine,Splash Ads,Campaign_002,AdGroup_064,Short Video,Female 18-24,Low Efficiency,12127,479,18,2999.01,1062.97,0.0395,0.0376,6.261,166.6117,0.3544
2025-02-07,Ocean Engine,Splash Ads,Campaign_002,AdGroup_077,Short Video,Female 18-24,Low Efficiency,10763,351,14,2117.45,897.54,0.0326,0.0399,6.0326,151.2464,0.4239
2025-02-08,Ocean Engine,Splash Ads,Campaign_002,AdGroup_013,Short Video,Female 18-24,Low Efficiency,9648,366,14,2462.59,838.9,0.0379,0.0383,6.7284,175.8993,0.3407
2025-02-09,Ocean Engine,Splash Ads,Campaign_002,AdGroup_089,Short Video,Female 18-24,Low Efficiency,10342,405,14,2666.42,795.79,0.0392,0.0346,6.5838,190.4586,0.2984
2025-02-10,Ocean Engine,Splash Ads,Campaign_002,AdGroup_096,Short Video,Female 18-24,Low Efficiency,13711,515,19,3088.5,1158.8,0.0376,0.0369,5.9971,162.5526,0.3752
2025-02-11,Ocean Engine,Splash Ads,Campaign_002,AdGroup_074,Short Video,Female 18-24,Low Efficiency,7209,256,8,1429.77,492.17,0.0355,0.0312,5.585,178.7212,0.3442
2025-02-12,Ocean Engine,Splash Ads,Campaign_002,AdGroup_025,Short Video,Female 18-24,Low Efficiency,10398,384,16,2543.27,1032.5,0.0369,0.0417,6.6231,158.9544,0.406
2025-02-13,Ocean Engine,Splash Ads,Campaign_002,AdGroup_048,Short Video,Female 18-24,Low Efficiency,15580,554,19,3470.81,1156.06,0.0356,0.0343,6.265,182.6742,0.3331
2025-02-14,Ocean Engine,Splash Ads,Campaign_002,AdGroup_015,Short Video,Female 18-24,Low Efficiency,15596,600,22,3953.92,1316.71,0.0385,0.0367,6.5899,179.7236,0.333
2025-02-15,Ocean Engine,Splash Ads,Campaign_002,AdGroup_034,Short Video,Female 18-24,Low Efficiency,12172,418,17,2327.29,1100.35,0.0343,0.0407,5.5677,136.8994,0.4728
2025-02-16,Ocean Engine,Splash Ads,Campaign_002,AdGroup_036,Short Video,Female 18-24,Low Efficiency,12372,455,17,3063.82,1034.15,0.0368,0.0374,6.7337,180.2247,0.3375
2025-02-17,Ocean Engine,Splash Ads,Campaign_002,AdGroup_007,Short Video,Female 18-24,Low Efficiency,7872,303,10,2059.45,636.49,0.0385,0.033,6.7969,205.945,0.3091
2025-02-18,Ocean Engine,Splash Ads,Campaign_002,AdGroup_036,Short Video,Female 18-24,Low Efficiency,8155,300,11,1689.06,672.89,0.0368,0.0367,5.6302,153.5509,0.3984
2025-02-19,Ocean Engine,Splash Ads,Campaign_002,AdGroup_047,Short Video,Female 18-24,Low Efficiency,11925,428,13,2816.65,770.84,0.0359,0.0304,6.581,216.6654,0.2737
2025-02-20,Ocean Engine,Splash Ads,Campaign_002,AdGroup_042,Short Video,Female 18-24,Low Efficiency,10713,422,17,2444.54,981.44,0.0394,0.0403,5.7927,143.7965,0.4015
2025-02-21,Ocean Engine,Splash Ads,Campaign_002,AdGroup_019,Short Video,Female 18-24,Low Efficiency,11902,477,16,2768.77,1011.78,0.0401,0.0335,5.8045,173.0481,0.3654
2025-02-22,Ocean Engine,Splash Ads,Campaign_002,AdGroup_049,Short Video,Female 18-24,Low Efficiency,12513,492,19,2798.32,1135.89,0.0393,0.0386,5.6876,147.28,0.4059
2025-02-23,Ocean Engine,Splash Ads,Campaign_002,AdGroup_032,Short Video,Female 18-24,Low Efficiency,14026,542,22,4260.29,936.19,0.0386,0.0406,7.8603,193.6495,0.2197
2025-02-24,Ocean Engine,Splash Ads,Campaign_002,AdGroup_018,Short Video,Female 18-24,Low Efficiency,7458,281,9,1595.24,525.03,0.0377,0.032,5.677,177.2489,0.3291
