date,platform,channel,campaign_name,ad_group,creative_type,target_audience,region,device,impressions,clicks,conversions,cost,revenue,ctr,cvr,cpc,cpa,roi
2025-01-19,腾讯广告,搜索,广告计划_048,广告组_075,图文,学生党,西南,Android,1678,179,11,757.9,714.03,0.1067,0.0615,4.23,68.9,0.94
2025-02-24,磁力引擎,开屏,广告计划_006,广告组_097,短视频,老客,华南,Android,2432,53,1,183.57,66.92,0.0218,0.0189,3.46,183.57,0.36
2025-01-07,巨量引擎,搜索,广告计划_025,广告组_049,直播切片,老客,华中,iOS,4543,89,20,707.61,2554.77,0.0196,0.2247,7.95,35.38,3.61
2025-03-18,腾讯广告,短视频,广告计划_050,广告组_083,直播切片,新客,华东,Android,4361,220,7,2036.97,492.74,0.0504,0.0318,9.26,291.0,0.24
2025-02-13,巨量引擎,短视频,广告计划_047,广告组_093,短视频,老客,华中,iOS,5075,106,12,395.58,1533.85,0.0209,0.1132,3.73,32.96,3.88
2025-02-03,磁力引擎,搜索,广告计划_010,广告组_048,直播切片,新客,华北,iOS,3037,297,23,599.41,1701.38,0.0978,0.0774,2.02,26.06,2.84
2025-01-21,磁力引擎,信息流,广告计划_008,广告组_047,直播切片,女性18-24,华中,iOS,3944,244,15,627.0,357.04,0.0619,0.0615,2.57,41.8,0.57
2025-02-09,巨量引擎,信息流,广告计划_047,广告组_063,图文,一线城市白领,华东,iOS,1307,53,1,90.26,29.28,0.0406,0.0189,1.7,90.26,0.32
2025-01-09,磁力引擎,搜索,广告计划_017,广告组_068,图文,学生党,华中,iOS,3051,189,16,1333.65,449.55,0.0619,0.0847,7.06,83.35,0.34
2025-03-19,腾讯广告,搜索,广告计划_026,广告组_086,直播切片,学生党,华南,Android,2478,246,14,499.72,599.26,0.0993,0.0569,2.03,35.69,1.2
2025-03-25,腾讯广告,开屏,广告计划_015,广告组_009,直播切片,男性25-34,华东,iOS,3957,279,36,1058.92,1044.79,0.0705,0.129,3.8,29.41,0.99
2025-02-13,巨量引擎,搜索,广告计划_046,广告组_081,直播切片,老客,华东,iOS,5755,310,77,1312.12,3410.11,0.0539,0.2484,4.23,17.04,2.6
2025-01-08,巨量引擎,信息流,广告计划_018,广告组_086,图文,女性18-24,华东,iOS,5332,374,24,2206.76,582.31,0.0701,0.0642,5.9,91.95,0.26
2025-03-04,巨量引擎,搜索,广告计划_016,广告组_061,直播切片,一线城市白领,西南,Android,2706,53,7,252.11,373.78,0.0196,0.1321,4.76,36.02,1.48
2025-02-22,巨量引擎,信息流,广告计划_028,广告组_053,图文,学生党,华中,Android,1901,137,8,621.34,731.08,0.0721,0.0584,4.54,77.67,1.18
2025-03-01,磁力引擎,信息流,广告计划_026,广告组_094,直播切片,学生党,华东,iOS,2255,176,28,446.98,1616.5,0.078,0.1591,2.54,15.96,3.62
2025-02-13,巨量引擎,搜索,广告计划_009,广告组_055,图文,老客,西南,Android,3166,136,4,882.11,386.47,0.043,0.0294,6.49,220.53,0.44
2025-01-24,腾讯广告,开屏,广告计划_004,广告组_084,图文,新客,华中,iOS,1654,53,6,173.43,176.93,0.032,0.1132,3.27,28.9,1.02
2025-03-11,巨量引擎,信息流,广告计划_031,广告组_028,图文,老客,华中,Android,3259,136,18,689.17,695.11,0.0417,0.1324,5.07,38.29,1.01
2025-02-21,巨量引擎,搜索,广告计划_030,广告组_037,短视频,新客,华中,Android,5271,205,29,883.56,2389.55,0.0389,0.1415,4.31,30.47,2.7
2025-02-24,磁力引擎,开屏,广告计划_004,广告组_075,图文,老客,华北,iOS,847,29,4,184.58,157.82,0.0342,0.1379,6.36,46.14,0.86
2025-03-11,巨量引擎,短视频,广告计划_033,广告组_068,图文,新客,西南,Android,5456,358,45,1239.25,1872.17,0.0656,0.1257,3.46,27.54,1.51
2025-01-21,巨量引擎,信息流,广告计划_044,广告组_031,图文,新客,西南,iOS,2819,129,5,758.63,185.31,0.0458,0.0388,5.88,151.73,0.24
2025-02-21,巨量引擎,搜索,广告计划_027,广告组_085,直播切片,一线城市白领,华东,iOS,4908,257,35,2370.19,3877.12,0.0524,0.1362,9.22,67.72,1.64
2025-03-16,磁力引擎,短视频,广告计划_017,广告组_051,短视频,老客,华北,iOS,4131,286,23,629.83,3058.86,0.0692,0.0804,2.2,27.38,4.86
2025-01-17,磁力引擎,短视频,广告计划_030,广告组_080,短视频,女性18-24,华东,iOS,3776,138,29,1143.66,2177.06,0.0365,0.2101,8.29,39.44,1.9
2025-03-14,巨量引擎,信息流,广告计划_009,广告组_045,直播切片,老客,西南,Android,6357,164,16,958.18,2302.65,0.0258,0.0976,5.84,59.89,2.4
2025-01-09,巨量引擎,短视频,广告计划_040,广告组_084,短视频,老客,华中,Android,5188,412,109,3415.57,14767.79,0.0794,0.2646,8.29,31.34,4.32
2025-03-09,巨量引擎,短视频,广告计划_008,广告组_014,直播切片,新客,华南,Android,6498,386,8,649.89,683.89,0.0594,0.0207,1.68,81.24,1.05
2025-03-12,巨量引擎,短视频,广告计划_014,广告组_088,短视频,一线城市白领,华南,Android,4889,135,21,858.57,2263.24,0.0276,0.1556,6.36,40.88,2.64
2025-03-23,腾讯广告,开屏,广告计划_018,广告组_006,短视频,新客,华东,Android,4867,291,17,1097.49,1375.73,0.0598,0.0584,3.77,64.56,1.25
2025-01-01,腾讯广告,搜索,广告计划_036,广告组_091,直播切片,女性18-24,华南,Android,2018,180,24,398.1,1423.83,0.0892,0.1333,2.21,16.59,3.58
2025-02-24,磁力引擎,信息流,广告计划_024,广告组_075,图文,新客,华南,iOS,3609,112,8,854.37,445.01,0.031,0.0714,7.63,106.8,0.52
2025-03-12,巨量引擎,开屏,广告计划_003,广告组_046,图文,新客,华北,Android,5400,188,11,1023.61,946.26,0.0348,0.0585,5.44,93.06,0.92
2025-01-27,磁力引擎,搜索,广告计划_040,广告组_096,直播切片,新客,华北,Android,3286,274,14,300.57,958.77,0.0834,0.0511,1.1,21.47,3.19
2025-01-20,巨量引擎,搜索,广告计划_048,广告组_043,图文,男性25-34,华东,iOS,1060,108,9,410.11,1072.66,0.1019,0.0833,3.8,45.57,2.62
2025-02-22,磁力引擎,搜索,广告计划_003,广告组_061,短视频,老客,华东,Android,1581,160,20,1396.78,2618.14,0.1012,0.125,8.73,69.84,1.87
2025-01-29,巨量引擎,开屏,广告计划_002,广告组_085,短视频,女性18-24,华南,iOS,2520,69,7,516.29,437.83,0.0274,0.1014,7.48,73.76,0.85
2025-01-25,腾讯广告,短视频,广告计划_042,广告组_066,短视频,新客,华北,Android,927,48,4,435.81,386.47,0.0518,0.0833,9.08,108.95,0.89
2025-02-21,磁力引擎,短视频,广告计划_038,广告组_034,图文,新客,华北,iOS,3003,73,5,618.82,137.73,0.0243,0.0685,8.48,123.76,0.22
2025-01-05,巨量引擎,开屏,广告计划_039,广告组_066,短视频,学生党,华北,Android,1240,34,2,234.95,68.13,0.0274,0.0588,6.91,117.48,0.29
2025-01-15,腾讯广告,搜索,广告计划_034,广告组_069,短视频,新客,华中,iOS,3606,236,14,1989.17,337.07,0.0654,0.0593,8.43,142.08,0.17
2025-03-29,磁力引擎,搜索,广告计划_040,广告组_041,短视频,男性25-34,华东,Android,3187,204,32,1257.6,2597.66,0.064,0.1569,6.16,39.3,2.07
2025-03-26,巨量引擎,短视频,广告计划_026,广告组_090,直播切片,女性18-24,华中,Android,4551,362,34,1395.37,1209.44,0.0795,0.0939,3.85,41.04,0.87
2025-02-07,磁力引擎,搜索,广告计划_040,广告组_073,图文,男性25-34,华中,iOS,3037,240,14,558.79,1489.12,0.079,0.0583,2.33,39.91,2.66
2025-02-08,腾讯广告,信息流,广告计划_038,广告组_078,短视频,女性18-24,华南,Android,2515,50,4,280.02,220.14,0.0199,0.08,5.6,70.0,0.79
2025-03-25,腾讯广告,开屏,广告计划_048,广告组_022,短视频,男性25-34,华南,Android,3924,125,26,613.85,2573.8,0.0319,0.208,4.91,23.61,4.19
2025-03-26,巨量引擎,短视频,广告计划_006,广告组_097,直播切片,学生党,西南,Android,2328,125,14,741.06,1312.09,0.0537,0.112,5.93,52.93,1.77
2025-01-31,磁力引擎,短视频,广告计划_003,广告组_032,图文,老客,华南,iOS,1219,86,2,337.6,142.54,0.0705,0.0233,3.93,168.8,0.42
2025-03-02,磁力引擎,信息流,广告计划_046,广告组_090,短视频,男性25-34,西南,iOS,1843,30,5,198.84,403.19,0.0163,0.1667,6.63,39.77,2.03
2025-02-19,腾讯广告,开屏,广告计划_050,广告组_055,图文,老客,华东,iOS,1812,33,6,170.43,313.35,0.0182,0.1818,5.16,28.4,1.84
2025-01-29,巨量引擎,开屏,广告计划_030,广告组_018,图文,一线城市白领,华南,iOS,1766,38,7,221.43,634.63,0.0215,0.1842,5.83,31.63,2.87
2025-03-01,磁力引擎,短视频,广告计划_036,广告组_058,短视频,一线城市白领,西南,Android,1929,96,16,108.68,1268.56,0.0498,0.1667,1.13,6.79,11.67
2025-01-21,磁力引擎,开屏,广告计划_050,广告组_100,短视频,女性18-24,华南,Android,3660,199,5,292.96,121.77,0.0544,0.0251,1.47,58.59,0.42
2025-03-08,腾讯广告,搜索,广告计划_016,广告组_035,短视频,男性25-34,华东,Android,2941,136,21,859.67,594.18,0.0462,0.1544,6.32,40.94,0.69
2025-02-12,腾讯广告,信息流,广告计划_045,广告组_020,图文,老客,华南,Android,3279,254,23,1263.59,2320.94,0.0775,0.0906,4.97,54.94,1.84
2025-01-28,巨量引擎,开屏,广告计划_027,广告组_008,短视频,女性18-24,西南,Android,4743,122,3,917.53,254.48,0.0257,0.0246,7.52,305.84,0.28
2025-01-27,腾讯广告,开屏,广告计划_031,广告组_001,直播切片,学生党,华东,Android,1815,102,4,160.11,294.51,0.0562,0.0392,1.57,40.03,1.84
2025-02-15,腾讯广告,开屏,广告计划_032,广告组_029,短视频,一线城市白领,西南,iOS,1695,93,19,684.07,1605.32,0.0549,0.2043,7.36,36.0,2.35
2025-02-04,腾讯广告,开屏,广告计划_047,广告组_022,图文,男性25-34,华北,Android,2368,103,9,936.71,501.12,0.0435,0.0874,9.09,104.08,0.53
2025-03-01,巨量引擎,信息流,广告计划_006,广告组_083,短视频,一线城市白领,西南,iOS,6126,165,15,417.89,1095.35,0.0269,0.0909,2.53,27.86,2.62
2025-02-24,巨量引擎,开屏,广告计划_021,广告组_028,图文,新客,华北,Android,4349,193,11,1065.59,637.5,0.0444,0.057,5.52,96.87,0.6
2025-02-28,腾讯广告,短视频,广告计划_006,广告组_061,短视频,女性18-24,华中,Android,2425,119,9,686.67,839.76,0.0491,0.0756,5.77,76.3,1.22
2025-01-03,磁力引擎,信息流,广告计划_049,广告组_004,短视频,老客,华东,iOS,1968,149,5,551.68,656.76,0.0757,0.0336,3.7,110.34,1.19
2025-02-01,巨量引擎,信息流,广告计划_031,广告组_086,直播切片,老客,华南,iOS,1917,48,10,342.62,1636.94,0.025,0.2083,7.14,34.26,4.78
2025-01-15,磁力引擎,搜索,广告计划_011,广告组_078,短视频,学生党,华北,Android,4147,130,8,728.31,706.86,0.0313,0.0615,5.6,91.04,0.97
2025-03-19,磁力引擎,信息流,广告计划_020,广告组_074,图文,女性18-24,华东,iOS,4192,127,14,756.38,607.4,0.0303,0.1102,5.96,54.03,0.8
2025-03-28,腾讯广告,开屏,广告计划_007,广告组_090,直播切片,老客,华东,iOS,4752,222,50,893.16,6504.67,0.0467,0.2252,4.02,17.86,7.28
2025-02-08,磁力引擎,信息流,广告计划_043,广告组_048,直播切片,新客,华北,Android,1015,78,10,235.54,937.01,0.0768,0.1282,3.02,23.55,3.98
2025-01-09,磁力引擎,短视频,广告计划_028,广告组_047,图文,男性25-34,华中,iOS,3044,268,24,1532.8,1400.64,0.088,0.0896,5.72,63.87,0.91
2025-03-23,腾讯广告,搜索,广告计划_040,广告组_069,短视频,老客,西南,Android,3738,167,46,1609.55,1712.3,0.0447,0.2754,9.64,34.99,1.06
2025-03-03,腾讯广告,开屏,广告计划_016,广告组_012,直播切片,一线城市白领,华北,Android,3782,294,10,2154.43,814.91,0.0777,0.034,7.33,215.44,0.38
2025-02-05,腾讯广告,搜索,广告计划_022,广告组_004,短视频,一线城市白领,西南,Android,1753,150,7,316.25,689.02,0.0856,0.0467,2.11,45.18,2.18
2025-03-05,腾讯广告,搜索,广告计划_022,广告组_036,短视频,老客,华北,Android,3793,429,30,2893.14,1543.38,0.1131,0.0699,6.74,96.44,0.53
2025-03-18,磁力引擎,短视频,广告计划_006,广告组_031,直播切片,新客,西南,iOS,3841,173,11,1230.46,1022.2,0.045,0.0636,7.11,111.86,0.83
2025-02-22,腾讯广告,搜索,广告计划_002,广告组_012,直播切片,男性25-34,华中,Android,2124,210,18,441.38,1670.92,0.0989,0.0857,2.1,24.52,3.79
2025-02-07,巨量引擎,开屏,广告计划_031,广告组_071,直播切片,老客,华北,Android,3918,134,34,214.48,3238.02,0.0342,0.2537,1.6,6.31,15.1
2025-03-09,腾讯广告,开屏,广告计划_045,广告组_059,直播切片,一线城市白领,华北,Android,2043,104,18,789.21,2011.32,0.0509,0.1731,7.59,43.84,2.55
2025-02-04,腾讯广告,短视频,广告计划_008,广告组_096,图文,新客,华南,Android,2758,231,20,2356.31,983.03,0.0838,0.0866,10.2,117.82,0.42
2025-03-10,磁力引擎,搜索,广告计划_047,广告组_076,图文,老客,华中,Android,3604,99,11,439.0,1240.11,0.0275,0.1111,4.43,39.91,2.82
2025-03-09,磁力引擎,短视频,广告计划_024,广告组_023,图文,老客,华北,iOS,2254,93,2,741.53,251.8,0.0413,0.0215,7.97,370.76,0.34
2025-02-08,巨量引擎,搜索,广告计划_045,广告组_017,短视频,新客,华东,Android,2665,205,7,511.67,288.85,0.0769,0.0341,2.5,73.1,0.56
2025-03-23,腾讯广告,信息流,广告计划_031,广告组_057,图文,一线城市白领,华北,Android,4286,392,53,1677.57,5426.05,0.0915,0.1352,4.28,31.65,3.23
2025-02-13,巨量引擎,信息流,广告计划_026,广告组_063,短视频,男性25-34,华东,iOS,2798,204,41,899.07,3698.8,0.0729,0.201,4.41,21.93,4.11
2025-01-10,磁力引擎,信息流,广告计划_006,广告组_032,图文,老客,西南,Android,1653,45,4,135.44,352.65,0.0272,0.0889,3.01,33.86,2.6
2025-01-16,磁力引擎,开屏,广告计划_050,广告组_067,直播切片,一线城市白领,西南,iOS,3042,99,6,391.01,144.27,0.0325,0.0606,3.95,65.17,0.37
2025-02-18,腾讯广告,开屏,广告计划_037,广告组_080,短视频,一线城市白领,华中,Android,3308,192,12,1695.44,1340.55,0.058,0.0625,8.83,141.29,0.79
2025-01-08,磁力引擎,信息流,广告计划_043,广告组_011,图文,学生党,华南,Android,896,47,6,59.04,534.89,0.0525,0.1277,1.26,9.84,9.06
2025-01-21,巨量引擎,搜索,广告计划_027,广告组_058,直播切片,新客,华南,iOS,2359,119,17,1270.48,589.75,0.0504,0.1429,10.68,74.73,0.46
2025-03-30,磁力引擎,开屏,广告计划_046,广告组_037,短视频,新客,华南,Android,4214,145,20,639.11,426.89,0.0344,0.1379,4.41,31.96,0.67
2025-03-31,腾讯广告,信息流,广告计划_028,广告组_015,直播切片,老客,华北,iOS,2952,142,13,221.92,1643.67,0.0481,0.0915,1.56,17.07,7.41
2025-03-11,巨量引擎,搜索,广告计划_011,广告组_040,短视频,老客,华东,iOS,3640,232,55,2309.79,5937.69,0.0637,0.2371,9.96,42.0,2.57
2025-03-18,磁力引擎,短视频,广告计划_045,广告组_052,短视频,新客,华中,Android,3770,331,47,845.74,2476.62,0.0878,0.142,2.56,17.99,2.93
2025-02-04,磁力引擎,开屏,广告计划_028,广告组_095,短视频,新客,西南,iOS,2420,158,16,375.68,1129.72,0.0653,0.1013,2.38,23.48,3.01
2025-02-11,磁力引擎,短视频,广告计划_049,广告组_087,图文,新客,华南,iOS,2229,46,1,47.2,56.55,0.0206,0.0217,1.03,47.2,1.2
2025-02-04,磁力引擎,信息流,广告计划_018,广告组_024,图文,男性25-34,西南,Android,2520,173,9,1039.76,946.06,0.0687,0.052,6.01,115.53,0.91
2025-03-16,腾讯广告,开屏,广告计划_022,广告组_042,图文,男性25-34,华北,Android,3837,269,20,569.71,434.69,0.0701,0.0743,2.12,28.49,0.76
2025-03-27,巨量引擎,搜索,广告计划_043,广告组_052,短视频,男性25-34,华中,Android,5301,448,69,3693.94,8372.92,0.0845,0.154,8.25,53.54,2.27
2025-03-12,巨量引擎,开屏,广告计划_008,广告组_099,图文,女性18-24,华北,Android,2767,119,10,470.03,1336.03,0.043,0.084,3.95,47.0,2.84
2025-02-21,磁力引擎,信息流,广告计划_004,广告组_025,直播切片,一线城市白领,华中,Android,1811,91,9,602.41,463.85,0.0502,0.0989,6.62,66.93,0.77
2025-03-08,腾讯广告,开屏,广告计划_018,广告组_071,直播切片,男性25-34,华东,iOS,3977,116,21,279.46,2247.54,0.0292,0.181,2.41,13.31,8.04
2025-01-17,腾讯广告,开屏,广告计划_041,广告组_078,直播切片,男性25-34,华东,iOS,3632,112,11,1140.35,723.79,0.0308,0.0982,10.18,103.67,0.63
2025-01-31,磁力引擎,搜索,广告计划_006,广告组_029,短视频,一线城市白领,华东,Android,3925,279,25,1465.26,1708.06,0.0711,0.0896,5.25,58.61,1.17
2025-01-15,腾讯广告,信息流,广告计划_033,广告组_091,直播切片,老客,华中,Android,4245,294,21,2051.47,1525.33,0.0693,0.0714,6.98,97.69,0.74
2025-02-04,腾讯广告,开屏,广告计划_025,广告组_025,短视频,老客,华中,iOS,2687,120,24,317.37,1118.02,0.0447,0.2,2.64,13.22,3.52
2025-03-18,磁力引擎,搜索,广告计划_033,广告组_035,图文,女性18-24,华中,Android,3995,92,8,481.05,440.35,0.023,0.087,5.23,60.13,0.92
2025-01-01,腾讯广告,短视频,广告计划_029,广告组_069,直播切片,一线城市白领,华中,iOS,3917,200,25,1645.38,653.62,0.0511,0.125,8.23,65.82,0.4
2025-03-03,腾讯广告,短视频,广告计划_021,广告组_025,直播切片,一线城市白领,华中,Android,3096,189,31,1118.65,1208.99,0.061,0.164,5.92,36.09,1.08
2025-03-31,巨量引擎,开屏,广告计划_048,广告组_061,图文,男性25-34,华东,Android,6425,98,5,647.26,521.54,0.0153,0.051,6.6,129.45,0.81
2025-02-18,腾讯广告,搜索,广告计划_007,广告组_057,短视频,新客,华南,Android,2076,254,27,2839.63,1006.78,0.1224,0.1063,11.18,105.17,0.35
2025-01-13,磁力引擎,开屏,广告计划_042,广告组_020,图文,学生党,华南,Android,4184,138,9,767.78,176.38,0.033,0.0652,5.56,85.31,0.23
2025-01-10,腾讯广告,短视频,广告计划_022,广告组_087,短视频,一线城市白领,华中,iOS,2446,226,43,328.44,5013.51,0.0924,0.1903,1.45,7.64,15.26
2025-03-10,腾讯广告,短视频,广告计划_040,广告组_009,直播切片,学生党,华中,iOS,2706,110,7,551.43,134.64,0.0407,0.0636,5.01,78.78,0.24
2025-01-31,磁力引擎,短视频,广告计划_007,广告组_098,图文,学生党,华东,Android,2359,188,4,866.28,143.48,0.0797,0.0213,4.61,216.57,0.17
2025-03-23,磁力引擎,信息流,广告计划_003,广告组_042,短视频,老客,华北,iOS,3736,200,37,1260.11,2907.27,0.0535,0.185,6.3,34.06,2.31
2025-01-08,腾讯广告,短视频,广告计划_034,广告组_053,短视频,男性25-34,华南,iOS,2958,207,34,1421.12,2540.51,0.07,0.1643,6.87,41.8,1.79
2025-03-14,磁力引擎,搜索,广告计划_040,广告组_088,图文,老客,华东,Android,2781,138,24,803.33,1199.75,0.0496,0.1739,5.82,33.47,1.49
2025-01-31,腾讯广告,搜索,广告计划_017,广告组_086,图文,男性25-34,华北,Android,3162,388,40,1459.68,1146.77,0.1227,0.1031,3.76,36.49,0.79
2025-01-02,腾讯广告,短视频,广告计划_029,广告组_045,直播切片,一线城市白领,华南,iOS,2533,129,16,1273.69,503.23,0.0509,0.124,9.87,79.61,0.4
2025-03-17,腾讯广告,开屏,广告计划_013,广告组_050,直播切片,女性18-24,华中,Android,3197,82,16,135.56,1211.38,0.0256,0.1951,1.65,8.47,8.94
2025-03-03,巨量引擎,搜索,广告计划_045,广告组_038,短视频,一线城市白领,华北,Android,2421,187,48,1696.0,4711.86,0.0772,0.2567,9.07,35.33,2.78
2025-01-03,磁力引擎,开屏,广告计划_039,广告组_096,短视频,新客,西南,iOS,4224,255,35,658.54,1051.47,0.0604,0.1373,2.58,18.82,1.6
2025-03-05,腾讯广告,搜索,广告计划_040,广告组_033,直播切片,女性18-24,华南,iOS,1646,127,14,1406.81,592.63,0.0772,0.1102,11.08,100.49,0.42
2025-03-28,磁力引擎,搜索,广告计划_029,广告组_005,直播切片,新客,华东,Android,1649,136,5,933.45,295.59,0.0825,0.0368,6.86,186.69,0.32
2025-03-16,腾讯广告,搜索,广告计划_012,广告组_026,图文,女性18-24,华北,Android,2848,241,15,1802.05,555.46,0.0846,0.0622,7.48,120.14,0.31
2025-01-17,磁力引擎,短视频,广告计划_017,广告组_062,直播切片,一线城市白领,华北,iOS,2402,148,13,644.16,1007.25,0.0616,0.0878,4.35,49.55,1.56
2025-02-07,磁力引擎,短视频,广告计划_049,广告组_029,图文,男性25-34,华东,iOS,2102,191,11,1354.18,450.09,0.0909,0.0576,7.09,123.11,0.33
2025-03-28,磁力引擎,开屏,广告计划_001,广告组_034,直播切片,女性18-24,华东,Android,2699,147,18,555.04,1090.3,0.0545,0.1224,3.78,30.84,1.96
2025-03-10,巨量引擎,开屏,广告计划_041,广告组_048,短视频,学生党,华北,Android,5820,103,19,635.61,1170.06,0.0177,0.1845,6.17,33.45,1.84
2025-01-14,磁力引擎,搜索,广告计划_040,广告组_029,短视频,新客,西南,Android,2301,194,30,459.39,647.59,0.0843,0.1546,2.37,15.31,1.41
2025-03-24,巨量引擎,开屏,广告计划_009,广告组_006,直播切片,女性18-24,华中,iOS,5448,230,45,448.7,5419.23,0.0422,0.1957,1.95,9.97,12.08
2025-01-05,腾讯广告,开屏,广告计划_025,广告组_059,图文,新客,华南,iOS,2114,53,6,383.93,370.93,0.0251,0.1132,7.24,63.99,0.97
2025-02-17,磁力引擎,开屏,广告计划_042,广告组_013,直播切片,学生党,华南,Android,1190,72,5,432.83,264.6,0.0605,0.0694,6.01,86.57,0.61
2025-03-04,磁力引擎,开屏,广告计划_029,广告组_057,短视频,新客,华北,iOS,3737,233,25,1061.36,1293.46,0.0623,0.1073,4.56,42.45,1.22
2025-01-31,腾讯广告,信息流,广告计划_004,广告组_051,直播切片,女性18-24,西南,Android,1792,62,12,265.16,932.42,0.0346,0.1935,4.28,22.1,3.52
2025-02-05,巨量引擎,信息流,广告计划_004,广告组_043,短视频,新客,华南,iOS,5833,165,18,696.23,949.48,0.0283,0.1091,4.22,38.68,1.36
2025-02-01,巨量引擎,搜索,广告计划_015,广告组_043,图文,一线城市白领,华南,iOS,2602,122,5,1073.35,518.7,0.0469,0.041,8.8,214.67,0.48
2025-01-19,磁力引擎,信息流,广告计划_012,广告组_015,短视频,老客,华南,Android,2409,152,24,1092.13,2571.49,0.0631,0.1579,7.19,45.51,2.35
2025-03-26,巨量引擎,搜索,广告计划_002,广告组_023,图文,女性18-24,华南,Android,5028,200,28,260.36,2608.39,0.0398,0.14,1.3,9.3,10.02
2025-02-03,巨量引擎,搜索,广告计划_048,广告组_009,直播切片,男性25-34,西南,iOS,3464,165,28,355.63,3223.07,0.0476,0.1697,2.16,12.7,9.06
2025-03-02,腾讯广告,短视频,广告计划_033,广告组_029,直播切片,一线城市白领,华东,Android,4028,266,32,1314.76,3397.7,0.066,0.1203,4.94,41.09,2.58
2025-03-20,巨量引擎,短视频,广告计划_031,广告组_052,短视频,学生党,华东,iOS,1162,68,8,481.19,646.89,0.0585,0.1176,7.08,60.15,1.34
2025-02-24,磁力引擎,信息流,广告计划_006,广告组_042,短视频,学生党,华中,iOS,4170,322,24,762.72,1239.21,0.0772,0.0745,2.37,31.78,1.62
2025-03-19,巨量引擎,信息流,广告计划_025,广告组_077,图文,女性18-24,西南,Android,1488,108,4,542.25,341.65,0.0726,0.037,5.02,135.56,0.63
2025-03-09,腾讯广告,开屏,广告计划_045,广告组_015,直播切片,一线城市白领,华中,iOS,1784,55,9,361.34,297.15,0.0308,0.1636,6.57,40.15,0.82
2025-03-25,磁力引擎,搜索,广告计划_022,广告组_059,短视频,男性25-34,华南,Android,3174,70,9,500.3,465.29,0.0221,0.1286,7.15,55.59,0.93
2025-02-21,腾讯广告,信息流,广告计划_024,广告组_020,短视频,男性25-34,华北,Android,4946,357,72,3197.62,4451.74,0.0722,0.2017,8.96,44.41,1.39
2025-03-29,腾讯广告,信息流,广告计划_007,广告组_096,图文,新客,华东,Android,3661,127,4,326.37,354.82,0.0347,0.0315,2.57,81.59,1.09
2025-02-17,巨量引擎,信息流,广告计划_043,广告组_016,直播切片,一线城市白领,西南,Android,5033,342,46,1729.56,3485.6,0.068,0.1345,5.06,37.6,2.02
2025-02-22,腾讯广告,开屏,广告计划_023,广告组_014,直播切片,新客,华北,Android,2132,76,10,76.0,456.14,0.0356,0.1316,1.0,7.6,6.0
2025-03-15,磁力引擎,搜索,广告计划_007,广告组_045,图文,学生党,华中,iOS,1167,66,8,806.0,440.96,0.0566,0.1212,12.21,100.75,0.55
2025-03-13,腾讯广告,信息流,广告计划_036,广告组_099,短视频,一线城市白领,华南,Android,1274,92,11,266.85,784.07,0.0722,0.1196,2.9,24.26,2.94
2025-03-21,磁力引擎,信息流,广告计划_012,广告组_035,直播切片,学生党,华北,iOS,1704,45,4,166.92,369.24,0.0264,0.0889,3.71,41.73,2.21
